action_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,game_date,opponent,shot_id
Jump Shot,33.9913,204,53,-118.0658,4,4,0,2011-12,59,21,0.0,Right Side(R),2012-02-17,PHX,18924
Jump Shot,33.9813,29,63,-118.2408,1,3,0,1998-99,52,6,1.0,Center(C),1999-04-20,GSW,27600
Jump Shot,33.9813,168,63,-118.1018,2,3,0,2009-10,5,17,1.0,Right Side(R),2009-12-29,GSW,6425
Running Jump Shot,34.0003,57,44,-118.2128,8,3,0,1999-00,54,7,1.0,Center(C),2000-04-10,SEA,25941
Jump Shot,33.8453,100,199,-118.1698,4,4,0,2002-03,29,22,,Right Side Center(RC),2003-02-18,HOU,20265
Jump Shot,34.0393,119,5,-118.1508,11,4,0,1999-00,46,11,0.0,Right Side(R),2000-03-16,WAS,29465
Jump Bank Shot,34.0323,-184,12,-118.4538,10,3,0,2003-04,44,18,1.0,Left Side(L),2004-02-18,GSW,6282
Jump Shot,33.9393,-37,105,-118.3068,7,4,0,2015-16,57,11,0.0,Center(C),2015-11-01,DAL,14223
Jump Shot,33.9343,129,110,-118.1408,7,1,0,2001-02,53,16,,Right Side Center(RC),2001-12-30,HOU,12933
Layup Shot,34.0443,0,0,-118.2698,3,4,0,1996-97,39,0,1.0,Center(C),1997-02-04,LAC,17423
Jump Shot,34.0683,159,-24,-118.1108,7,4,0,2006-07,54,16,0.0,Right Side(R),2006-12-19,CHI,26834
Layup Shot,34.0443,0,0,-118.2698,1,2,0,2003-04,52,0,1.0,Center(C),2003-11-04,MIL,9817
Running Jump Shot,33.9833,-158,61,-118.4278,8,1,0,1999-00,1,16,1.0,Left Side(L),2000-04-10,SEA,820
Jump Shot,33.9913,150,53,-118.1198,0,1,1,2001-02,28,15,0.0,Right Side(R),2002-05-07,SAS,4464
Jump Shot,33.8553,-187,189,-118.4568,4,4,0,2004-05,29,26,0.0,Left Side Center(LC),2004-11-19,PHX,13803
Driving Layup Shot,34.0443,0,0,-118.2698,7,2,0,1999-00,15,0,,Center(C),1999-12-16,ATL,6170
Driving Layup Shot,34.0493,23,-5,-118.2468,6,3,0,2004-05,6,2,1.0,Center(C),2005-03-02,BOS,3487
Jump Shot,34.0303,-104,14,-118.3738,1,1,1,1999-00,0,10,,Left Side(L),2000-05-02,SAC,6137
Layup Shot,34.0343,28,10,-118.2418,6,2,0,2005-06,43,2,1.0,Center(C),2005-12-02,MIN,18424
Jump Shot,33.8373,43,207,-118.2268,11,3,0,2006-07,41,21,1.0,Center(C),2006-11-08,POR,26598
Jump Shot,33.9013,-210,143,-118.4798,11,3,1,2007-08,27,25,,Left Side Center(LC),2008-04-28,DEN,19799
Jump Shot,33.8443,88,200,-118.1818,1,1,0,2012-13,30,21,,Right Side Center(RC),2012-11-18,HOU,8518
Jump Shot,33.7923,62,252,-118.2078,9,3,0,2014-15,28,25,0.0,Center(C),2014-12-15,IND,17373
Jump Shot,33.9243,113,120,-118.1568,9,1,0,2004-05,5,16,1.0,Right Side Center(RC),2005-01-10,MIN,15297
Layup Shot,34.0443,-15,0,-118.2848,9,3,0,2011-12,12,1,1.0,Center(C),2012-01-06,GSW,11415
Driving Layup Shot,34.0443,0,0,-118.2698,0,1,0,1999-00,4,0,,Center(C),1999-12-19,TOR,3112
Driving Layup Shot,34.0403,-5,4,-118.2748,0,2,1,2010-11,41,0,,Center(C),2011-05-06,DAL,8942
Alley Oop Dunk Shot,34.0443,0,0,-118.2698,4,2,0,2005-06,16,0,1.0,Center(C),2006-03-12,SEA,10883
Pullup Jump shot,33.8843,72,160,-118.1978,1,3,0,2008-09,18,17,1.0,Right Side Center(RC),2009-03-15,DAL,26753
Layup Shot,34.0443,0,0,-118.2698,6,3,0,2003-04,0,0,,Center(C),2004-04-06,POR,18402
Running Jump Shot,33.9193,-33,125,-118.3028,3,3,0,2000-01,36,12,0.0,Center(C),2000-10-31,POR,1573
Layup Shot,34.0503,11,-6,-118.2588,0,4,1,2001-02,5,1,1.0,Center(C),2002-05-12,SAS,8769
Jump Shot,33.9143,133,130,-118.1368,11,2,0,2003-04,23,18,0.0,Right Side Center(RC),2003-11-01,PHX,20429
Driving Finger Roll Shot,34.0443,0,0,-118.2698,4,1,0,2005-06,46,0,,Center(C),2006-01-27,GSW,25391
Layup Shot,34.0443,-13,0,-118.2828,5,2,1,2011-12,15,1,1.0,Center(C),2012-05-14,OKC,9940
Jump Shot,33.7963,-61,248,-118.3308,1,1,0,2004-05,56,25,,Center(C),2005-03-15,PHI,19888
Pullup Jump shot,33.9443,141,100,-118.1288,7,3,0,2015-16,45,17,0.0,Right Side(R),2015-11-06,BKN,2496
Jump Shot,33.8393,-7,205,-118.2768,8,1,1,2011-12,25,20,,Center(C),2012-05-10,DEN,17330
Jump Shot,33.8833,128,161,-118.1418,5,2,0,2007-08,5,20,,Right Side Center(RC),2007-12-16,LAC,15003
Jump Shot,33.8783,63,166,-118.2068,7,2,0,1999-00,47,17,,Right Side Center(RC),2000-04-08,SAS,27960
Jump Shot,33.9863,94,58,-118.1758,4,4,0,2006-07,54,11,1.0,Right Side(R),2007-03-04,PHX,8640
Step Back Jump shot,33.9333,96,111,-118.1738,7,4,0,2015-16,37,14,0.0,Right Side(R),2016-04-03,BOS,2506
Jump Shot,33.9143,-169,130,-118.4388,8,2,0,1999-00,54,21,,Left Side Center(LC),2000-03-20,MIA,20664
Layup Shot,34.0443,0,0,-118.2698,8,1,0,2004-05,22,0,0.0,Center(C),2004-12-28,TOR,24073
Running Jump Shot,33.9673,-46,77,-118.3158,4,3,0,2002-03,30,8,1.0,Left Side(L),2003-02-01,UTA,6089
Layup Shot,34.0443,0,0,-118.2698,5,1,0,2002-03,15,0,,Center(C),2002-12-01,MIN,28170
Jump Shot,33.9573,-113,87,-118.3828,11,3,0,1998-99,4,14,,Left Side(L),1999-04-02,PHX,22205
Jump Shot,33.9153,-207,129,-118.4768,4,4,0,2009-10,22,24,1.0,Left Side Center(LC),2010-01-26,WAS,6329
Jump Shot,33.8663,-29,178,-118.2988,4,2,0,2009-10,31,18,0.0,Center(C),2009-12-01,NOH,16630
Jump Shot,33.9883,-65,56,-118.3348,6,2,1,2009-10,57,8,0.0,Left Side(L),2010-04-22,OKC,22034
Jump Shot,34.0143,158,30,-118.1118,3,3,0,2006-07,26,16,0.0,Right Side(R),2007-02-13,NYK,6428
Layup Shot,34.0443,0,0,-118.2698,10,3,0,2007-08,4,0,0.0,Center(C),2008-01-13,MEM,9363
Jump Shot,34.0643,-142,-20,-118.4118,2,4,0,1996-97,17,14,0.0,Left Side(L),1997-03-23,ORL,25885
Jump Shot,33.9783,-42,66,-118.3118,0,1,0,1997-98,4,7,0.0,Center(C),1998-03-11,POR,26655
Jump Shot,33.9563,-235,88,-118.5048,8,4,0,2009-10,58,25,0.0,Left Side Center(LC),2010-03-02,IND,6535
Hook Shot,33.9923,25,52,-118.2448,5,3,0,2015-16,23,5,0.0,Center(C),2016-01-08,OKC,25909
Jump Shot,33.9343,-44,110,-118.3138,5,4,1,2000-01,21,11,0.0,Center(C),2001-05-19,SAS,14625
Jump Shot,33.9353,-55,109,-118.3248,0,1,0,1997-98,41,12,1.0,Center(C),1998-01-09,LAC,29092
